Unnamed: 0,Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,Wind_Avg,Is_Monsoon,Temp_Diff,WindSpeed_Total,YearMonth
0,1981-01-01,Arghakhanchi,27.9,83.2,0.0,93.51,4.81,45.41,13.89,2.15,20.82,9.94,10.89,11.32,1.89,3.83,0.69,3.14,2.41,4.12,0.73,3.39,1981,1,2.15,0,10.88,13.670000000000002,1981-01-01
1,1981-01-02,Arghakhanchi,27.9,83.2,0.0,93.59,4.94,46.78,13.84,2.54,20.7,9.54,11.17,11.44,1.72,2.6,1.09,1.5,2.25,3.3,0.96,2.34,1981,1,1.985,0,11.16,11.920000000000002,1981-01-01
2,1981-01-03,Arghakhanchi,27.9,83.2,0.03,93.55,5.22,47.91,14.33,3.32,20.71,10.78,9.93,12.24,1.8,2.8,0.48,2.32,2.32,3.54,0.39,3.15,1981,1,2.06,0,9.93,11.330000000000002,1981-01-01
3,1981-01-04,Arghakhanchi,27.9,83.2,0.02,93.49,5.36,50.83,13.82,3.73,20.43,10.02,10.41,12.17,2.18,3.54,1.06,2.49,2.9,4.05,0.93,3.12,1981,1,2.54,0,10.41,14.66,1981-01-01
4,1981-01-05,Arghakhanchi,27.9,83.2,1.84,93.49,5.84,55.55,13.76,4.93,19.62,9.08,10.53,12.32,1.96,2.7,0.69,2.02,2.74,4.64,0.96,3.68,1981,1,2.35,0,10.54,13.69,1981-01-01
5,1981-01-06,Arghakhanchi,27.9,83.2,2.41,93.39,6.02,59.18,13.24,5.23,19.02,9.49,9.53,11.81,1.91,3.62,0.74,2.89,2.56,3.98,0.76,3.22,1981,1,2.235,0,9.53,13.57,1981-01-01
6,1981-01-07,Arghakhanchi,27.9,83.2,2.2,93.44,6.12,65.22,12.02,5.58,16.29,8.56,7.74,11.24,1.3,1.75,0.76,0.99,1.74,2.6,0.93,1.66,1981,1,1.52,0,7.729999999999999,9.08,1981-01-01
7,1981-01-08,Arghakhanchi,27.9,83.2,1.09,93.58,5.12,57.6,11.21,3.02,17.34,7.65,9.69,9.74,1.92,3.37,0.98,2.39,2.56,3.55,1.5,2.05,1981,1,2.24,0,9.69,13.88,1981-01-01
8,1981-01-09,Arghakhanchi,27.9,83.2,0.04,93.89,4.75,53.49,11.26,2.04,17.29,7.73,9.56,9.4,1.63,2.85,0.53,2.32,2.0,2.69,0.61,2.08,1981,1,1.815,0,9.56,10.31,1981-01-01
9,1981-01-10,Arghakhanchi,27.9,83.2,0.0,94.05,4.68,51.0,11.77,1.84,18.16,7.32,10.84,9.68,1.62,2.77,0.91,1.86,2.02,2.74,1.27,1.47,1981,1,1.82,0,10.84,11.33,1981-01-01
10,1981-01-11,Arghakhanchi,27.9,83.2,0.0,94.12,4.55,51.86,11.12,1.45,16.82,7.26,9.56,8.33,1.94,3.49,0.4,3.09,2.62,4.32,0.59,3.72,1981,1,2.28,0,9.56,13.36,1981-01-01
11,1981-01-12,Arghakhanchi,27.9,83.2,3.12,94.24,5.22,61.7,10.58,3.13,15.05,7.37,7.69,9.01,1.62,2.91,0.21,2.7,2.13,3.79,0.26,3.53,1981,1,1.875,0,7.680000000000001,10.92,1981-01-01
12,1981-01-13,Arghakhanchi,27.9,83.2,9.05,94.11,5.63,66.74,10.51,4.48,16.82,6.31,10.51,9.34,2.05,2.73,0.84,1.89,3.08,5.01,1.19,3.82,1981,1,2.565,0,10.510000000000002,14.9,1981-01-01
13,1981-01-14,Arghakhanchi,27.9,83.2,0.1,93.96,4.67,48.92,12.38,1.77,20.07,8.26,11.81,10.11,2.27,4.15,0.33,3.82,3.14,4.63,0.58,4.04,1981,1,2.705,0,11.81,15.1,1981-01-01
14,1981-01-15,Arghakhanchi,27.9,83.2,0.0,94.1,3.87,39.15,12.93,-0.71,20.12,9.13,10.99,9.95,1.76,3.01,0.75,2.25,2.27,3.35,1.17,2.18,1981,1,2.015,0,10.99,12.31,1981-01-01
15,1981-01-16,Arghakhanchi,27.9,83.2,0.0,94.17,3.98,37.51,14.03,-0.33,21.05,9.75,11.3,10.6,1.7,2.92,0.77,2.15,2.06,2.71,0.81,1.9,1981,1,1.88,0,11.3,10.97,1981-01-01
16,1981-01-17,Arghakhanchi,27.9,83.2,4.38,94.11,4.39,38.39,15.17,0.96,22.56,11.62,10.95,11.64,1.84,2.8,1.11,1.69,2.36,3.38,1.46,1.93,1981,1,2.1,0,10.94,12.95,1981-01-01
17,1981-01-18,Arghakhanchi,27.9,83.2,0.24,93.8,4.78,44.03,14.31,2.07,19.44,11.2,8.24,11.91,1.53,2.52,0.64,1.88,2.11,3.58,0.76,2.82,1981,1,1.82,0,8.240000000000002,11.14,1981-01-01
18,1981-01-19,Arghakhanchi,27.9,83.2,0.0,93.65,4.95,47.88,13.55,2.67,19.47,9.56,9.91,12.04,1.88,3.3,0.76,2.54,2.35,3.57,1.01,2.56,1981,1,2.115,0,9.909999999999998,12.87,1981-01-01
19,1981-01-20,Arghakhanchi,27.9,83.2,0.0,93.77,5.1,48.79,13.72,3.05,21.1,9.11,11.99,11.96,2.25,4.52,0.22,4.31,3.04,5.03,0.68,4.35,1981,1,2.645,0,11.990000000000002,15.739999999999998,1981-01-01
20,1981-01-21,Arghakhanchi,27.9,83.2,0.0,93.74,5.27,49.2,14.08,3.48,19.79,10.48,9.31,12.16,1.62,2.65,0.19,2.46,2.06,3.15,0.07,3.08,1981,1,1.84,0,9.31,9.74,1981-01-01
