Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-07-13,Arghakhanchi,27.9,83.2,5.29,92.49,18.42,75.85,27.02,22.28,30.29,23.18,7.1,27.37,1.88,4.63,0.37,4.26,2.53,5.06,0.58,4.47,1981,7,1981-07
1981-02-03,Arghakhanchi,27.9,83.2,0.01,93.86,4.86,48.91,12.96,2.26,20.03,8.74,11.29,11.32,2.12,4.02,0.65,3.36,2.8,4.24,0.78,3.46,1981,2,1981-02
1981-01-16,Arghakhanchi,27.9,83.2,0.0,94.17,3.98,37.51,14.03,-0.33,21.05,9.75,11.3,10.6,1.7,2.92,0.77,2.15,2.06,2.71,0.81,1.9,1981,1,1981-01
1981-11-06,Arghakhanchi,27.9,83.2,0.0,93.5,8.96,64.82,18.01,11.07,23.39,13.71,9.68,16.37,1.71,2.84,0.88,1.96,2.12,3.02,1.24,1.77,1981,11,1981-11
1981-02-27,Arghakhanchi,27.9,83.2,0.0,93.36,5.29,34.32,19.76,3.47,27.24,14.49,12.75,19.15,2.73,5.24,0.81,4.43,4.11,6.29,0.94,5.35,1981,2,1981-02
1981-07-03,Arghakhanchi,27.9,83.2,44.98,92.13,20.12,90.66,25.41,23.69,26.83,24.34,2.48,25.5,2.78,4.96,0.89,4.07,3.7,5.49,1.59,3.9,1981,7,1981-07
1981-03-18,Arghakhanchi,27.9,83.2,0.04,93.1,6.39,36.73,21.68,6.18,30.28,15.06,15.22,21.27,3.0,6.52,0.84,5.68,4.09,7.2,1.32,5.89,1981,3,1981-03
1981-04-30,Arghakhanchi,27.9,83.2,0.05,93.13,6.93,28.22,27.44,7.35,34.2,20.31,13.89,27.34,2.37,3.23,0.5,2.73,3.01,4.37,0.71,3.66,1981,4,1981-04
1981-06-02,Arghakhanchi,27.9,83.2,0.23,92.57,11.41,40.55,29.65,14.65,36.75,23.12,13.64,31.06,2.9,4.97,1.23,3.73,3.74,5.42,1.73,3.69,1981,6,1981-06
1981-05-07,Arghakhanchi,27.9,83.2,0.59,93.14,11.46,49.32,26.46,14.87,30.39,22.76,7.63,27.12,1.71,2.79,0.86,1.93,2.41,3.8,0.83,2.97,1981,5,1981-05
1981-07-13,Baglung,28.3,83.6,3.38,78.95,14.54,83.57,18.94,15.73,22.19,16.19,6.0,19.76,1.96,4.99,0.49,4.5,1.82,4.23,0.47,3.77,1981,7,1981-07
1981-02-03,Baglung,28.3,83.6,0.02,79.52,3.62,51.42,5.4,-4.67,12.23,1.62,10.61,1.87,1.71,4.05,0.19,3.86,1.59,3.5,0.15,3.35,1981,2,1981-02
1981-01-16,Baglung,28.3,83.6,0.0,79.9,3.23,41.34,6.99,-5.61,14.29,1.83,12.45,2.61,1.78,3.17,0.44,2.73,1.63,2.6,0.41,2.19,1981,1,1981-01
1981-11-06,Baglung,28.3,83.6,0.0,79.43,6.68,69.89,9.85,2.97,15.21,6.06,9.14,7.57,1.71,3.82,0.39,3.43,1.59,3.06,0.47,2.59,1981,11,1981-11
1981-02-27,Baglung,28.3,83.6,0.0,79.33,4.41,45.33,10.11,-1.49,16.65,5.27,11.37,9.23,2.16,4.67,0.38,4.29,2.19,4.24,0.51,3.73,1981,2,1981-02
1981-07-03,Baglung,28.3,83.6,38.78,78.6,15.82,95.39,18.08,16.89,19.83,16.71,3.12,18.41,2.34,4.03,0.76,3.27,2.57,3.96,0.84,3.12,1981,7,1981-07
1981-03-18,Baglung,28.3,83.6,0.03,79.2,5.07,43.7,12.74,-0.02,20.65,6.25,14.41,11.65,2.42,5.69,0.25,5.45,2.26,5.03,0.21,4.82,1981,3,1981-03
